Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.547169811321,17.6603773584906,2.0188679245283
101.6875,3.625,2
106,3.5,2
107.950819672131,17.6393442622951,2.04918032786885
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.673076923077,17.7307692307692,2.01923076923077
117,3.5,2
122,3.04545454545455,2
122.648648648649,16.5945945945946,1.97297297297297
128.75,3.375,2
169,602,2
257,602,2
345,602,2
361.688942891859,198.665856622114,2.43620899149453
432,602,2
520,602,2
608,602,2
