"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,26
"2",2,1,169,2,26
"3",3,1,257,2,26
"4",4,1,344,2,26
"5",5,1,432,2,26
"6",6,1,520,2,26
"7",7,81,602,2,26
"8",8,83,4.5,2,26
"9",9,86.7,17.1,2,26
"10",10,89.7142857142857,3.5,2,26
"11",11,92.7692307692308,16.4615384615385,2,26
"12",12,95.6666666666667,3.5,2,26
"13",13,97,16,2,26
"14",14,97,21,2,26
"15",15,101.6875,3.625,2,26
"16",16,101.7,17.1,2,26
"17",17,106,3.5,2,26
"18",18,108.089285714286,17.6607142857143,1.98214285714286,26
"19",19,112.692307692308,3.38461538461538,2.15384615384615,26
"20",20,112,16,2,26
"21",21,112,21,2,26
"22",22,116.2,15.5,2,26
"23",23,116.2,20.8,2,26
"24",24,117,3.5,2,26
"25",25,118.5,19,2,26
"26",26,122,3.04545454545455,2,26
"27",27,122.647058823529,17.7647058823529,2,26
"28",28,128.75,3.375,2,26
"29",29,169,602,2,26
"30",30,257,602,2,26
"31",31,273.089285714286,294,1.875,26
"32",32,345,602,2,26
"33",33,402.211180124224,75.5962732919255,2.47204968944099,26
"34",34,418.978087649402,130.494023904382,2.45816733067729,26
"35",35,420.061111111111,97.3138888888889,2.45833333333333,26
"36",36,418.012987012987,109.948051948052,2.44155844155844,26
"37",37,432.951219512195,121.951219512195,2.35365853658537,26
"38",38,432,602,2,26
"39",39,435.540540540541,139.445945945946,2.45945945945946,26
"40",40,450.635944700461,184.235023041475,2.42396313364055,26
"41",41,453.666666666667,228.853603603604,2.43918918918919,26
"42",42,452.9625,206.9875,2.3875,26
"43",43,520,602,2,26
"44",44,608,602,2,26
