"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,9
"2",2,1,169,2,9
"3",3,1,257,2,9
"4",4,1,344,2,9
"5",5,1,432,2,9
"6",6,1,520,2,9
"7",7,81,602,2,9
"8",8,83,4.5,2,9
"9",9,86.7,17.1,2,9
"10",10,89.7142857142857,3.5,2,9
"11",11,92.7692307692308,16.4615384615385,2,9
"12",12,95.6666666666667,3.5,2,9
"13",13,97,16,2,9
"14",14,97,21,2,9
"15",15,101.6875,3.625,2,9
"16",16,101.7,17.1,2,9
"17",17,106,3.5,2,9
"18",18,108.054545454545,17.6363636363636,1.98181818181818,9
"19",19,112.692307692308,3.38461538461538,2.15384615384615,9
"20",20,112,16,2,9
"21",21,112,21,2,9
"22",22,116.826086956522,17.7608695652174,2.02173913043478,9
"23",23,117,3.5,2,9
"24",24,122,3.04545454545455,2,9
"25",25,122.2,15.5,2,9
"26",26,122.2,20.8,2,9
"27",27,125,19,2,9
"28",28,128.75,3.375,2,9
"29",29,169,602,2,9
"30",30,259,302.964285714286,1.875,9
"31",31,257,602,2,9
"32",32,345,602,2,9
"33",33,404,91.974358974359,2.42307692307692,9
"34",34,401.808219178082,75.5068493150685,2.43835616438356,9
"35",35,422.697833523375,126.7251995439,2.44925883694413,9
"36",36,415.036144578313,109.024096385542,2.33734939759036,9
"37",37,433.991304347826,142.113043478261,2.43478260869565,9
"38",38,432,602,2,9
"39",39,452.825665859564,232.486682808717,2.46731234866828,9
"40",40,450.974683544304,193.911392405063,2.40506329113924,9
"41",41,453.408163265306,203.591836734694,2.40816326530612,9
"42",42,520,602,2,9
"43",43,608,602,2,9
