"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",108.089285714286,17.6607142857143,1.98214285714286
"19",112.692307692308,3.38461538461538,2.15384615384615
"20",112,16,2
"21",112,21,2
"22",120.024,17.576,2.008
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",128.75,3.375,2
"26",169,602,2
"27",257,602,2
"28",263.035714285714,300,1.875
"29",345,602,2
"30",401.982352941176,75.0705882352941,2.42941176470588
"31",417.185328185328,125.965250965251,2.45945945945946
"32",411.974358974359,91.0512820512821,2.42307692307692
"33",423.934640522876,104.78431372549,2.42156862745098
"34",418.050632911392,113.962025316456,2.40506329113924
"35",420.790697674419,136.632558139535,2.45116279069767
"36",432.892857142857,121.940476190476,2.32142857142857
"37",434.888888888889,140.59477124183,2.45098039215686
"38",432,602,2
"39",450.729591836735,185.15306122449,2.39285714285714
"40",453.974683544304,217.126582278481,2.40506329113924
"41",453.340050377834,231.413098236776,2.46599496221662
"42",520,602,2
"43",608,602,2
